from,to,relation,time,topicality,location
Vita,HB,1,2,2,1
Vita,DE,1,1,2,1
Vita,AL,1,2,2,1
Vita,CO,1,3,2,1
Vita,HE,1,99,2,1
Vita,GE,1,99,2,1
Vita,ED,1,99,2,1
Vita,VA,1,3,2,1
Vita,DB,7,1,2,2
Vita,AS,1,1,2,1
Vita,BL,7,2,2,2
Vita,BA,7,99,2,2
Vita,HU,7,99,2,2
Vita,PI,7,99,2,2
Vita,BSS,7,99,2,2
Vita,MP,1,99,2,1
Vita,RK,1,99,2,1
Vita,DS,1,2,2,1
Vita,DUS,1,2,1,1
Vita,AP,6,99,2,1
Vita,UC,7,2,2,2
Vita,DN,8,99,1,1
Vita,AI,8,2,1,2
Vita,TK,8,2,1,2
Vita,ISIP,7,2,1,2
Vita,SC,1,2,2,1
Vita,Springer,1,3,1,1
Doepfner,GJ,8,2,2,1
Doepfner,WP,10,1,2,1
Doepfner,HMP,10,1,2,1
Doepfner,DW,10,1,2,1
Doepfner,Springer,9,3,1,1
Doepfner,BDZ,9,1,1,1
Doepfner,BI,9,1,1,2
Doepfner,eM,9,99,1,2
Doepfner,Net,9,99,1,2
Doepfner,RAS,7,99,1,2
Doepfner,WMG,9,2,1,2
Doepfner,FriedeSpringer,11,99,1,1
Doepfner,SC,1,1,2,1
Doepfner,WM,1,3,1,2
Doepfner,VG,1,1,2,2
Doepfner,BHF,1,99,2,2
Doepfner,RCS,3,1,2,2
Doepfner,EPC,1,99,1,2
Doepfner,AA,1,99,1,1
Doepfner,CFR,1,99,1,2
Doepfner,AJC,12,99,1,2
Leibinger-Kammueller,Springer,1,2,1,1
Leibinger-Kammueller,SIEM,1,99,1,1
Leibinger-Kammueller,VO,1,99,99,1
Leibinger-Kammueller,LBBW,3,99,99,1
Leibinger-Kammueller,SV,4,99,1,1
Leibinger-Kammueller,LA,4,1,1,1
Leibinger-Kammueller,DM,4,99,99,1
Leibinger-Kammueller,CDU,5,99,99,1
Leibinger-Kammueller,AW,4,99,99,1
Leibinger-Kammueller,TR,2,3,1,1
Leibinger-Kammueller,BLS,2,3,2,1
Reitzle,Springer,1,2,1,1
Reitzle,CO,1,2,1,1
Reitzle,MP,1,2,1,1
Reitzle,BS,1,1,1,1
Reitzle,DM,4,4,1,1
Reitzle,HAW,1,1,2,1
Reitzle,AUG,7,99,99,1
Reitzle,LIN,9,3,2,1
Reitzle,IV,7,4,2,1
Reitzle,BMW,9,3,2,1
Reitzle,BS,3,99,99,1
Reitzle,FO,9,1,2,1
Reitzle,LaHo,7,1,2,1
Reitzle,WB,1,1,1,1
Lanz,Springer,1,2,1,1
Lanz,BHW,8,1,2,1
Lanz,HSB,9,2,2,1
Lanz,NS,9,1,2,1
Lanz,PSM,9,3,2,1
Lanz,ZS,1,2,1,1
Lanz,HOME,1,2,1,1
Lanz,BW,1,2,1,1
Lanz,TAG,1,2,1,1
Lanz,DH,1,2,1,1
Lanz,KAB,1,2,1,2
Varsavsky,Springer,1,2,1,1
Varsavsky,JT,2,1,2,2
Varsavsky,YAC,2,1,2,2
Varsavsky,FON,2,3,1,2
Varsavsky,OL,2,99,1,2
Varsavsky,PF,1,99,1,2
Varsavsky,FW,1,99,1,2
Heine,HP,2,99,1,1
Heine,TEX,13,99,1,1
Heine,LAC,13,99,1,1
Heine,DCG,13,99,1,1
Heine,HVA,13,2,2,1
Heine,Mews,13,2,1,1
Heine,UZH,13,99,99,1
Heine,BZ,1,99,2,1
Heine,Springer,1,3,1,1
Heine,YA,7,2,1,2
FriedeSpringer,FSS,9,2,1,1
FriedeSpringer,Springer,1,99,1,1
FriedeSpringer,AxSp,11,99,1,1
FriedeSpringer,ASG,2,99,1,1
FriedeSpringer,FSHS,9,99,1,1
FriedeSpringer,ASS,9,99,1,1
FriedeSpringer,BBA,9,99,1,1
FriedeSpringer,DHB,14,99,1,1
FriedeSpringer,FL,9,99,1,1
FriedeSpringer,DG,14,99,1,1
FriedeSpringer,FFDSO,9,99,1,1
FriedeSpringer,FPSG,14,99,1,1
Bayer,SZ,8,1,2,1
Bayer,SZ,15,1,2,1
Bayer,VSM,15,1,2,1
Bayer,Springer,9,2,1,1
Bayer,RZH,2,3,1,1
Bayer,DW,2,3,1,1
Bayer,HAB,2,3,1,1
Bayer,BI,9,99,1,2
